rufas_id,Name,Fd_Category,feed_type,DM,ash,CP,N_A,N_B,N_C,Kd,RUP,dRUP,sol_prot,ADICP,NDICP,ADF,NDF,NDF48,lignin,starch,WSC,FA,EE,DE_Base,calcium,phosphorus,magnesium,potassium,sodium,chlorine,sulfur,copper,iron,manganese,zinc,molibdenum,chromium,cobalt,iodine,selenium,arginine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,triptophan,valine,C120_FA,C140_FA,C160_FA,C161_FA,C180_FA,C181t_FA,C181c_FA,C182_FA,C183_FA,otherFA_FA,NPN_source,starch_digested,FA_dig,P_inorg,P_org,B_Carotene,biotin,choline,niacin,Vit_A,Vit_D,Vit_E,Abs_calcium,Abs_phosphorus,Abs_sodium,Abs_chloride,Abs_potassium,Abs_copper,Abs_iron,Abs_magnesium,Abs_manganesum,Abs_zinc,is_fat,is_wetforage,units,limit,lower_limit,TDN,DE
15,"Beet pulp, dry",By-Product/Other,Conc,92.298,5.238,9.922,5,90,5,2,70.608,80,20.58,1.304,5.465,28.246,46.852,79,3.88,0.642,5.7,0.63,1.055,2.739,0.773,0.083,0.261,0.494,0.114,0.076,0.197,8.098,588.18,78.412,20.673,1,1.2,0,0,0.14,3.735,3.133,3.494,5.904,5.783,1.566,3.614,4.458,1.084,5.542,0,0,26.659,0.388,0.89,0.141,11.551,49.831,6.35,4.19,0,91,73,0,100,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,69.11,3.03
18,Bermudagrass hay,Grass/Legume Forage,Forage,93.373,8.044,10.991,36,52,12,8.1,33.832,65,32.971,0.843,4.157,34.942,65.408,54.153,5.406,4.895,7.707,1.252,1.928,2.4,0.491,0.195,0.208,1.709,0.154,0.739,0.405,9.762,220.846,58.755,33.948,1.119,0,0,0,0.27,3.88,1.63,3.32,6.22,3.49,1.3,3.92,3.6,1.24,4.51,2.825,1.178,30.297,1.423,3.989,1.14,3.322,18.785,20.754,16.287,0,91,73,67,33,0,0,0,0,0,0,0,0.4,0.787,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,52.89,2.35
22,"Blood meal, high dRUP",By-Product/Other,Conc,90.864,3.25,95.06,10,61,29,1.9,74.507,85,19.466,4.251,5.674,0,0,0,0,0,0,1.31,1.691,4.518,0.135,0.276,0.048,0.425,0.415,0.351,0.736,6.051,2266.571,4.492,33.261,0,0,0,0,0.6,4.204,5.998,1.076,12.399,8.767,1.155,6.794,4.552,1.581,8.318,0.11,1.48,21.62,1.02,21.66,5.13,26.47,14.89,0.46,7.16,0,91,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,76.36,4.35
23,"Blood meal, low dRUP",By-Product/Other,Conc,90.864,3.25,95.06,10,61,29,1.9,74.507,65,19.466,4.251,5.674,0,0,0,0,0,0,1.31,1.691,3.724,0.135,0.276,0.048,0.425,0.415,0.351,0.736,6.051,2266.571,4.492,33.261,0,0,0,0,0.7,4.204,5.998,1.076,12.399,8.767,1.155,6.794,4.552,1.581,8.318,0.11,1.48,21.62,1.02,21.66,5.13,26.47,14.89,0.46,7.16,0,91,73,10,90,0,0,0,0,0,0,0,0.6,0.696,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,65.86,3.76
24,"Brewers grains, dry",By-Product/Other,Conc,93.12,4.58,25.33,18,67,15,4.5,52.336,74,17.654,3.12,8.6,24.741,51.77,51.5,6.657,6.45,3.777,8.31,9.025,2.951,0.304,0.643,0.225,0.234,0.02,0.089,0.295,15.975,350,54.2,85.706,1.922,0,0,0,1.06,5.797,2.283,4.022,8.297,3.551,2.138,5.543,3.587,1.341,5.471,0.138,0.731,26.692,0.202,2.241,0,14.605,48.873,4.572,1.946,0,91,73,12,88,0,0,0,0,0,0,0,0.6,0.699,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,71.34,3.38
25,"Brewers grains, wet",By-Product/Other,Conc,22.461,4.557,28.085,47,44,9,3.9,37.323,82.83,11.217,2.944,3.955,23.772,49.294,47.25,6.636,5.167,2.009,7.61,9.519,3.099,0.362,0.688,0.232,0.12,0.025,0.058,0.321,10.38,223.475,53.025,93.881,2.343,0,0,0,1.06,5.797,2.283,4.022,8.297,3.551,2.138,5.543,3.587,1.341,5.471,0.028,0.398,24.491,0.199,1.835,0,11.229,53.82,5.371,2.629,0,91,73,12,88,0,0,0,0,0,0,0,0.6,0.699,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,71.56,3.38
30,"Canola seed, ground",By-Product/Other,Conc,94.956,4.501,23.364,35,60,5,20.1,19.73,50,49.32,2.795,4.534,20.21,28.735,45,6.009,2.419,6,39.462,40.462,4.281,0.443,0.69,0.335,0.85,0.013,0.077,0.426,3.944,298.056,47.444,40.167,1.4,0,0,0,0.56,5.934,2.656,3.934,6.918,5.508,1.967,4,4.426,1.344,5.115,0,0.188,9.762,0.905,2.237,0.613,45.207,31.451,7.713,1.924,0,91,73,8,92,0,0,0,0,0,0,0,0.6,0.693,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,127.36,5.6
31,Canola meal,By-Product/Other,Conc,89.128,7.882,41.492,22,71,7,10.537,32.121,74,24.995,2.497,4.747,20.335,28.96,49.379,8.509,1.57,11.005,2.514,3.514,3.104,0.79,1.152,0.621,1.358,0.077,0.102,0.768,5.776,253.246,73.327,64.39,1.122,0,0,0,1.01,5.934,2.656,3.934,6.918,5.508,1.967,4,4.426,1.344,5.115,0,0.188,9.762,0.905,2.237,0.613,45.207,31.451,7.713,1.924,0,91,73,8,92,0,0,0,0,0,0,0,0.6,0.693,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,69.88,3.44
32,Chocolate byproduct,By-Product/Other,Conc,94.276,2.567,10.003,74,26,0,3.2,20.929,90,27.117,1.009,1.921,8.295,13.219,40,1.425,11.166,39.575,20.681,21.681,4.043,0.153,0.285,0.115,0.511,0.155,0.21,0.096,7.645,89.625,20.097,23.375,1,0,0,0,0,2.25,1.57,3.6,6.52,2.25,1.57,3.82,3.82,0.67,5.84,6.54,5.13,18.24,0.14,18.81,9.08,30.81,7.78,0.58,2.89,0,91,73,0,100,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,102.67,4.46
33,"Citrus pulp, dry",By-Product/Other,Conc,88.2,7.07,7.185,42,53,5,7.4,29.767,80,40.319,1.025,1.776,20.144,24.073,86.5,2.491,1.27,23.041,1.72,2.546,3.018,1.858,0.124,0.136,1.063,0.058,0.114,0.104,6.854,107.741,10.175,12.841,1.373,0,0,0,0,3.716,1.695,2.88,5.255,2.724,1.036,3.62,2.941,0.947,3.854,0.67,0.564,26.855,0.588,4.929,0.052,23.3,34.917,6.425,1.7,0,91,73,61,39,0,0,0,0,0,0,0,0.6,0.778,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,79.85,3.44
34,"Citrus pulp, wet",By-Product/Other,Conc,18.319,6.831,8.66,42,53,5,7.4,29.767,80,56.67,0.681,1.205,23.18,25.906,86.5,3.613,0.92,11.496,1.72,3.416,2.962,1.267,0.157,0.122,1.249,0.046,0.12,0.107,5.483,153.261,12.112,11.492,1.071,0,0,0,0,3.716,1.695,2.88,5.255,2.724,1.036,3.62,2.941,0.947,3.854,0.67,0.564,26.855,0.588,4.929,0.052,23.3,34.917,6.425,1.7,0,91,73,61,39,0,0,0,0,0,0,0,0.6,0.778,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,79.85,3.44
